Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
2009-11-11,Potato,24,Hooghly,FAQ,Sheoraphuly,1600,1580,1580,West Bengal,Jyoti
2009-02-12,Potato,24,Hooghly,FAQ,Sheoraphuly,1660,1650,1650,West Bengal,Jyoti
2009-03-12,Potato,24,Hooghly,FAQ,Sheoraphuly,1600,1580,1580,West Bengal,Jyoti
2009-04-12,Potato,24,Hooghly,FAQ,Sheoraphuly,1600,1580,1580,West Bengal,Jyoti
2009-05-12,Potato,24,Hooghly,FAQ,Sheoraphuly,1630,1620,1620,West Bengal,Jyoti
2009-09-12,Potato,24,Hooghly,FAQ,Sheoraphuly,1630,1620,1620,West Bengal,Jyoti
2009-02-02,Potato,24,Howrah,FAQ,Ramkrishanpur(Howrah),430,400,420,West Bengal,Jyoti
2009-06-03,Potato,24,Howrah,FAQ,Ramkrishanpur(Howrah),650,630,640,West Bengal,Jyoti
2009-12-03,Potato,24,Howrah,FAQ,Ramkrishanpur(Howrah),790,770,780,West Bengal,Jyoti
2009-01-04,Potato,24,Howrah,FAQ,Ramkrishanpur(Howrah),890,870,880,West Bengal,Jyoti
2009-05-04,Potato,24,Dehradoon,FAQ,Vikasnagar,400,300,350,Uttrakhand,Other
2009-03-07,Potato,24,Dehradoon,FAQ,Vikasnagar,1000,310,819,Uttrakhand,Other
2009-05-07,Potato,24,Dehradoon,FAQ,Vikasnagar,1000,450,650,Uttrakhand,Other
2009-07-07,Potato,24,Dehradoon,FAQ,Vikasnagar,940,400,683,Uttrakhand,Other
2009-08-07,Potato,24,Dehradoon,FAQ,Vikasnagar,900,350,622,Uttrakhand,Other
2009-02-08,Potato,24,Dehradoon,FAQ,Vikasnagar,1400,400,752,Uttrakhand,Other
2009-05-08,Potato,24,Dehradoon,FAQ,Vikasnagar,1150,600,822,Uttrakhand,Other
2009-10-08,Potato,24,Dehradoon,FAQ,Vikasnagar,1200,500,842,Uttrakhand,Other
2009-12-08,Potato,24,Dehradoon,FAQ,Vikasnagar,1200,450,868,Uttrakhand,Other
2009-07-09,Potato,24,Dehradoon,FAQ,Vikasnagar,1200,600,904,Uttrakhand,Other
2009-10-06,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,400,310,350,Uttrakhand,Potato
2009-04-07,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,740,460,525,Uttrakhand,Potato
2009-12-07,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,750,480,550,Uttrakhand,Potato
2009-06-08,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,1450,665,715,Uttrakhand,Potato
2009-06-09,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,1100,650,850,Uttrakhand,Potato
2009-04-11,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,1600,500,1000,Uttrakhand,Potato
2009-05-11,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,1600,800,900,Uttrakhand,Potato
2009-07-11,Potato,24,Garhwal (Pauri),FAQ,Kotadwara,1600,800,1000,Uttrakhand,Potato
2009-12-03,Potato,24,Haridwar,FAQ,Haridwar Union,230,130,200,Uttrakhand,Other
2009-01-04,Potato,24,Haridwar,FAQ,Haridwar Union,310,160,225,Uttrakhand,Other
2009-06-04,Potato,24,Haridwar,FAQ,Haridwar Union,350,170,225,Uttrakhand,Other
2009-12-02,Potato,24,Haridwar,FAQ,Lakshar,400,200,300,Uttrakhand,Other
2009-06-07,Potato,24,Haridwar,FAQ,Lakshar,600,400,500,Uttrakhand,Other
2009-01-08,Potato,24,Haridwar,FAQ,Lakshar,800,600,700,Uttrakhand,Other
2009-07-08,Potato,24,Haridwar,FAQ,Lakshar,800,600,700,Uttrakhand,Other
2009-10-08,Potato,24,Haridwar,FAQ,Lakshar,800,600,700,Uttrakhand,Other
2009-02-09,Potato,24,Haridwar,FAQ,Lakshar,900,700,800,Uttrakhand,Other
2009-05-09,Potato,24,Haridwar,FAQ,Lakshar,900,700,800,Uttrakhand,Other
2009-09-09,Potato,24,Haridwar,FAQ,Lakshar,1000,800,900,Uttrakhand,Other
2009-12-09,Potato,24,Haridwar,FAQ,Lakshar,1000,800,900,Uttrakhand,Other
2009-03-11,Potato,24,Haridwar,FAQ,Lakshar,800,600,700,Uttrakhand,Other
2009-02-12,Potato,24,Haridwar,FAQ,Lakshar,800,600,700,Uttrakhand,Other
2009-01-04,Potato,24,Haridwar,FAQ,Manglaur,350,320,330,Uttrakhand,Other
2009-07-08,Potato,24,Haridwar,FAQ,Manglaur,380,300,350,Uttrakhand,Other
2009-01-09,Potato,24,Haridwar,FAQ,Manglaur,450,350,400,Uttrakhand,Other
2009-07-12,Potato,24,Haridwar,FAQ,Roorkee,800,500,650,Uttrakhand,Other
2009-05-02,Potato,24,Nanital,FAQ,Haldwani,410,150,302,Uttrakhand,Other
2009-02-03,Potato,24,Nanital,FAQ,Haldwani,450,230,274,Uttrakhand,Other
2009-12-03,Potato,24,Nanital,FAQ,Haldwani,350,200,222,Uttrakhand,Other
2009-07-04,Potato,24,Nanital,FAQ,Haldwani,550,270,314,Uttrakhand,Other
2009-10-04,Potato,24,Nanital,FAQ,Haldwani,600,300,365,Uttrakhand,Other
2009-12-05,Potato,24,Nanital,FAQ,Haldwani,550,400,490,Uttrakhand,Other
2009-03-06,Potato,24,Nanital,FAQ,Haldwani,850,450,793,Uttrakhand,Other
2009-07-06,Potato,24,Nanital,FAQ,Haldwani,850,600,775,Uttrakhand,Other
2009-09-06,Potato,24,Nanital,FAQ,Haldwani,900,650,768,Uttrakhand,Other
2009-10-06,Potato,24,Nanital,FAQ,Haldwani,1000,650,713,Uttrakhand,Other
2009-11-06,Potato,24,Nanital,FAQ,Haldwani,800,400,528,Uttrakhand,Other
2009-05-08,Potato,24,Nanital,FAQ,Haldwani,1250,610,655,Uttrakhand,Other
2009-06-08,Potato,24,Nanital,FAQ,Haldwani,1000,700,733,Uttrakhand,Other
2009-09-08,Potato,24,Nanital,FAQ,Haldwani,980,720,800,Uttrakhand,Other
2009-07-09,Potato,24,Nanital,FAQ,Haldwani,1000,700,806,Uttrakhand,Other
2009-07-10,Potato,24,Nanital,FAQ,Haldwani,900,750,800,Uttrakhand,Other
2009-08-02,Potato,24,Nanital,FAQ,Ramnagar,250,200,230,Uttrakhand,Other
2009-03-05,Potato,24,Nanital,FAQ,Ramnagar,700,500,650,Uttrakhand,Other
2009-08-06,Potato,24,Nanital,FAQ,Ramnagar,700,500,600,Uttrakhand,Other
2009-01-01,Potato,24,UdhamSinghNagar,FAQ,Khateema,250,250,250,Uttrakhand,Other
2009-04-02,Potato,24,UdhamSinghNagar,FAQ,Khateema,250,250,250,Uttrakhand,Other
2009-12-02,Potato,24,UdhamSinghNagar,FAQ,Khateema,200,200,200,Uttrakhand,Other
2009-04-03,Potato,24,UdhamSinghNagar,FAQ,Khateema,310,310,310,Uttrakhand,Other
2009-07-03,Potato,24,UdhamSinghNagar,FAQ,Khateema,310,310,310,Uttrakhand,Other
2009-09-03,Potato,24,UdhamSinghNagar,FAQ,Khateema,310,310,310,Uttrakhand,Other
2009-04-04,Potato,24,UdhamSinghNagar,FAQ,Khateema,400,300,350,Uttrakhand,Other
2009-06-04,Potato,24,UdhamSinghNagar,FAQ,Khateema,350,300,325,Uttrakhand,Other
2009-10-05,Potato,24,UdhamSinghNagar,FAQ,Khateema,440,400,420,Uttrakhand,Other
